SequenceID,Pipeline,LibraryTube,LibraryBarcode,ExtractID,SampleID,Final Library Concentration,Volume Added to Pool (uL),Seq ID,Run ID
HDZ-219-S81,16S,12,16S12,HDZ-219-E1,HDZ-219,4.43,0.9,PL004,MIN_16_2024-6-13
HDZ-163-S82,16S,13,16S13,HDZ-163-E1,HDZ-163,3.7,1.1,PL004,MIN_16_2024-6-13
HDZ-106-S83,16S,14,16S14,HDZ-106-E1,HDZ-106,4.82,0.8,PL004,MIN_16_2024-6-13
HDZ-183-S84,16S,15,16S15,HDZ-183-E1,HDZ-183,3.7,1.1,PL004,MIN_16_2024-6-13
HDZ-220-S85,16S,16,16S16,HDZ-220-E1,HDZ-220,1.51,2.7,PL004,MIN_16_2024-6-13
HDZ-199-S86,16S,17,16S17,HDZ-199-E1,HDZ-199,2.19,1.8,PL004,MIN_16_2024-6-13
HDZ-194-S87,16S,18,16S18,HDZ-194-E1,HDZ-194,1.76,2.3,PL004,MIN_16_2024-6-13
HDZ-198-S88,16S,19,16S19,HDZ-198-E1,HDZ-198,1.98,2,PL004,MIN_16_2024-6-13
HDZ-217-S89,16S,20,16S20,HDZ-217-E1,HDZ-217,1.15,3.5,PL004,MIN_16_2024-6-13
HDZ-221-S90,16S,21,16S21,HDZ-221-E1,HDZ-221,1.64,2.4,PL004,MIN_16_2024-6-13
HDZ-097-S91,16S,22,16S22,HDZ-097-E1,HDZ-097,6.3,0.6,PL004,MIN_16_2024-6-13
HDZ-085-S92,16S,23,16S23,HDZ-085-E1,HDZ-085,4.31,0.9,PL004,MIN_16_2024-6-13
PL-NTC-004-CTRL,16S,24,16S24,PL-NTC-004-E1,#N/A,0.663,1.8,PL004,MIN_16_2024-6-13
HDZ-002-S93,16S,1,16S1,HDZ-002-E1,HDZ-002,1.9,2.1,PL005,MIN_16_2024-7-17
HDZ-036-S94,16S,2,16S2,HDZ-036-E1,HDZ-036,1,4,PL005,MIN_16_2024-7-17
HDZ-096-S95,16S,3,16S3,HDZ-096-E1,HDZ-096,2.19,1.8,PL005,MIN_16_2024-7-17
HDZ-102-S96,16S,4,16S4,HDZ-102-E1,HDZ-102,1.21,3.3,PL005,MIN_16_2024-7-17
HDZ-105-S97,16S,5,16S5,HDZ-105-E1,HDZ-105,0.826,4.9,PL005,MIN_16_2024-7-17
HDZ-179-S98,16S,6,16S6,HDZ-179-E1,HDZ-179,0.864,4.6,PL005,MIN_16_2024-7-17
HDZ-180-S99,16S,7,16S7,HDZ-180-E1,HDZ-180,1.37,2.9,PL005,MIN_16_2024-7-17
HDZ-200-S100,16S,8,16S8,HDZ-200-E1,HDZ-200,1.9,2.1,PL005,MIN_16_2024-7-17
HDZ-205-S101,16S,9,16S9,HDZ-205-E1,HDZ-205,3.75,1.1,PL005,MIN_16_2024-7-17
HDZ-207-S102,16S,10,16S10,HDZ-207-E1,HDZ-207,3.36,1.2,PL005,MIN_16_2024-7-17
HDZ-208-S103,16S,11,16S11,HDZ-208-E1,HDZ-208,3.73,1.1,PL005,MIN_16_2024-7-17
HDZ-209-S104,16S,12,16S12,HDZ-209-E1,HDZ-209,1.35,3,PL005,MIN_16_2024-7-17
HDZ-210-S105,16S,13,16S13,HDZ-210-E1,HDZ-210,2.07,1.9,PL005,MIN_16_2024-7-17
HDZ-211-S106,16S,14,16S14,HDZ-211-E1,HDZ-211,0.976,4.1,PL005,MIN_16_2024-7-17
HDZ-213-S107,16S,15,16S15,HDZ-213-E1,HDZ-213,1.34,3,PL005,MIN_16_2024-7-17
HDZ-215-S108,16S,16,16S16,HDZ-215-E1,HDZ-215,1.38,2.9,PL005,MIN_16_2024-7-17
HDZ-222-S109,16S,17,16S17,HDZ-222-E1,HDZ-222,2.03,2,PL005,MIN_16_2024-7-17
HDZ-301-S110,16S,18,16S18,HDZ-301-E1,HDZ-301,5.6,0.7,PL005,MIN_16_2024-7-17
HDZ-302-S111,16S,19,16S19,HDZ-302-E1,HDZ-302,1.3,3.1,PL005,MIN_16_2024-7-17
HDZ-303-S112,16S,20,16S20,HDZ-303-E1,HDZ-303,1.92,2.1,PL005,MIN_16_2024-7-17
HDZ-304-S113,16S,21,16S21,HDZ-304-E1,HDZ-304,0.778,5.2,PL005,MIN_16_2024-7-17
HDZ-305-S114,16S,22,16S22,HDZ-305-E1,HDZ-305,1.27,3.2,PL005,MIN_16_2024-7-17
HDZ-306-S115,16S,23,16S23,HDZ-306-E1,HDZ-306,4.59,0.9,PL005,MIN_16_2024-7-17
PL-NTC-005-CTRL,16S,24,16S24,PL-NTC-005-E1,#N/A,0.713,,PL005,MIN_16_2024-7-17
HDZ-307-S116,16S,1,16S1,HDZ-307-E1,HDZ-307,,,PL006,MIN_16_2024-7-18
HDZ-308-S117,16S,2,16S2,HDZ-308-E1,HDZ-308,,,PL006,MIN_16_2024-7-18
HDZ-309-S118,16S,3,16S3,HDZ-309-E1,HDZ-309,,,PL006,MIN_16_2024-7-18
HDZ-310-S119,16S,4,16S4,HDZ-310-E1,HDZ-310,,,PL006,MIN_16_2024-7-18
HDZ-311-S120,16S,5,16S5,HDZ-311-E1,HDZ-311,,,PL006,MIN_16_2024-7-18
HDZ-312-S121,16S,6,16S6,HDZ-312-E1,HDZ-312,,,PL006,MIN_16_2024-7-18
HDZ-223-S122,16S,7,16S7,HDZ-223-E1,HDZ-223,,,PL006,MIN_16_2024-7-18
HDZ-224-S123,16S,8,16S8,HDZ-224-E1,HDZ-224,,,PL006,MIN_16_2024-7-18
HDZ-226-S124,16S,9,16S9,HDZ-226-E1,HDZ-226,,,PL006,MIN_16_2024-7-18
HDZ-313-S125,16S,10,16S10,HDZ-313-E1,HDZ-313,,,PL006,MIN_16_2024-7-18
HDZ-314-S126,16S,11,16S11,HDZ-314-E1,HDZ-314,,,PL006,MIN_16_2024-7-18
HDZ-315-S127,16S,12,16S12,HDZ-315-E1,HDZ-315,,,PL006,MIN_16_2024-7-18
HDZ-227-S128,16S,13,16S13,HDZ-227-E1,HDZ-227,,,PL006,MIN_16_2024-7-18
HDZ-228-S129,16S,14,16S14,HDZ-228-E1,HDZ-228,,,PL006,MIN_16_2024-7-18
HDZ-229-S130,16S,15,16S15,HDZ-229-E1,HDZ-229,,,PL006,MIN_16_2024-7-18
HDZ-320-S131,16S,16,16S16,HDZ-320-E1,HDZ-320,,,PL006,MIN_16_2024-7-18
HDZ-321-S132,16S,17,16S17,HDZ-321-E1,HDZ-321,,,PL006,MIN_16_2024-7-18
HDZ-322-S133,16S,18,16S18,HDZ-322-E1,HDZ-322,,,PL006,MIN_16_2024-7-18
HDZ-323-S134,16S,19,16S19,HDZ-323-E1,HDZ-323,,,PL006,MIN_16_2024-7-18
HDZ-324-S135,16S,20,16S20,HDZ-324-E1,HDZ-324,,,PL006,MIN_16_2024-7-18
HDZ-325-S136,16S,21,16S21,HDZ-325-E1,HDZ-325,,,PL006,MIN_16_2024-7-18
HDZ-326-S137,16S,22,16S22,HDZ-326-E1,HDZ-326,,,PL006,MIN_16_2024-7-18
HDZ-327-S138,16S,23,16S23,HDZ-327-E1,HDZ-327,,,PL006,MIN_16_2024-7-18
PL-NTC-006-CTRL,16S,24,16S24,PL-NTC-006-E1,#N/A,,,PL006,MIN_16_2024-7-18
HDZ-206-S139,16S,1,16S1,HDZ-206-E1,HDZ-206,,,PL007,MIN_16_2024-7-22
HDZ-240-S140,16S,2,16S2,HDZ-240-E1,HDZ-240,,,PL007,MIN_16_2024-7-22
HDZ-241-S141,16S,3,16S3,HDZ-241-E1,HDZ-241,,,PL007,MIN_16_2024-7-22
HDZ-242-S142,16S,4,16S4,HDZ-242-E1,HDZ-242,,,PL007,MIN_16_2024-7-22
HDZ-243-S143,16S,5,16S5,HDZ-243-E1,HDZ-243,,,PL007,MIN_16_2024-7-22
HDZ-244-S144,16S,6,16S6,HDZ-244-E1,HDZ-244,,,PL007,MIN_16_2024-7-22
HDZ-245-S145,16S,7,16S7,HDZ-245-E1,HDZ-245,,,PL007,MIN_16_2024-7-22
HDZ-246-S146,16S,8,16S8,HDZ-246-E1,HDZ-246,,,PL007,MIN_16_2024-7-22
HDZ-247-S147,16S,9,16S9,HDZ-247-E1,HDZ-247,,,PL007,MIN_16_2024-7-22
HDZ-248-S148,16S,10,16S10,HDZ-248-E1,HDZ-248,,,PL007,MIN_16_2024-7-22
HDZ-249-S149,16S,11,16S11,HDZ-249-E1,HDZ-249,,,PL007,MIN_16_2024-7-22
HDZ-250-S150,16S,12,16S12,HDZ-250-E1,HDZ-250,,,PL007,MIN_16_2024-7-22
HDZ-251-S151,16S,13,16S13,HDZ-251-E1,HDZ-251,,,PL007,MIN_16_2024-7-22
HDZ-252-S152,16S,14,16S14,HDZ-252-E1,HDZ-252,,,PL007,MIN_16_2024-7-22
HDZ-253-S153,16S,15,16S15,HDZ-253-E1,HDZ-253,,,PL007,MIN_16_2024-7-22
HDZ-254-S154,16S,16,16S16,HDZ-254-E1,HDZ-254,,,PL007,MIN_16_2024-7-22
HDZ-317-S155,16S,17,16S17,HDZ-317-E1,HDZ-317,,,PL007,MIN_16_2024-7-22
HDZ-318-S156,16S,18,16S18,HDZ-318-E1,HDZ-318,,,PL007,MIN_16_2024-7-22
HDZ-319-S157,16S,19,16S19,HDZ-319-E1,HDZ-319,,,PL007,MIN_16_2024-7-22
HDZ-328-S158,16S,20,16S20,HDZ-328-E1,HDZ-328,,,PL007,MIN_16_2024-7-22
HDZ-336-S159,16S,21,16S21,HDZ-336-E1,HDZ-336,,,PL007,MIN_16_2024-7-22
HDZ-337-S160,16S,22,16S22,HDZ-337-E1,HDZ-337,,,PL007,MIN_16_2024-7-22
HDZ-338-S161,16S,23,16S23,HDZ-338-E1,HDZ-338,,,PL007,MIN_16_2024-7-22
PL-NTC-007-CTRL,16S,24,16S24,PL-NTC-007-E1,#N/A,,,PL007,MIN_16_2024-7-22
HDZ-258-S162,16S,1,16S1,HDZ-258-E1,HDZ-258,,,PL008,MIN_16_2024-8-16
HDZ-259-S163,16S,2,16S2,HDZ-259-E1,HDZ-259,,,PL008,MIN_16_2024-8-16
HDZ-260-S164,16S,3,16S3,HDZ-260-E1,HDZ-260,,,PL008,MIN_16_2024-8-16
