"SampleID"	"ExtractID"	"SequenceID"	"steps_remaining"	"LibraryCode"	"LibraryTube"	"LibraryBarcode"	"SampVolPool"	"TotalPoolVol"	"BeadVol"	"Conc_QC2"	"reads_unclassified"	"FlowCellSerial"	"protocol_group_id"	"SeqRunID"	"SeqDate"	"SeqDateTime"	"SampleSet"	"LibPrepDate"	"LibPrepWorkflow"	"LibPrepKit"	"FlowCellType"	"FlongleAdapter"	"SeqDevice"	"strands"	"fragment_type"	"Length"	"InputMassStart"	"TemplateVolPrep"	"PoolSamples"	"InputMassFinal"	"ExtractDate"	"ExtractedBy"	"ExtractKit"	"ExtractBox"	"ExtractNotes"	"ExtractConc"	"SampleCollectedBy"	"SampleNotes"	"CollectionDate"	"Subject"	"Subj_Certainty"
"HDZ-053"	"HDZ-053-E1"	"HDZ-053-S191"	"sample extracted and sequenced"	"hdz9"	7	7	NA	NA	NA	NA	5120	"AWN500"	"PL8-9"	"PL009"	2024-08-16	2024-08-16 18:56:41.056086	"loris"	2024-08-16	"rapid16s"	"SQK-16S114-24"	"FLO-FLG114"	"FA-09291"	"Spike-MinION"	2	3	1500	10	15	"yes"	50	2024-02-12	"SA/WJ"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 1"	""	104	"HDZ Keepers"	""	2023-11-18	"Culi"	"yes"
"HDZ-049"	"HDZ-049-E1"	"HDZ-049-E1-S346"	"sample extracted and sequenced"	"hdz16"	1	1	NA	NA	NA	NA	2285	"AVU071"	"PL016"	"PL16"	2024-09-20	2024-09-20 23:00:38.522417	"loris"	2024-09-20	"rapid16s"	"SQK-16S114-24"	"FLO-FLG114"	"FA-09291"	"Spike-MinION"	2	3	1500	10	15	"yes"	50	2024-02-12	"SA"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 1"	""	52	"HDZ Keepers"	""	2023-11-18	"Warble"	"no"
"HDZ-054"	"HDZ-054-E1"	"HDZ-054-S192"	"sample extracted and sequenced"	"hdz9"	8	8	NA	NA	NA	NA	16075	"AWN500"	"PL8-9"	"PL009"	2024-08-16	2024-08-16 18:56:41.056086	"loris"	2024-08-16	"rapid16s"	"SQK-16S114-24"	"FLO-FLG114"	"FA-09291"	"Spike-MinION"	2	3	1500	10	15	"yes"	50	2024-02-12	"SA"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 1"	""	66	"HDZ Keepers"	""	2023-11-19	"Culi"	"yes"
"HDZ-044"	"HDZ-044-E1"	"HDZ-044-S189"	"sample extracted and sequenced"	"hdz9"	5	5	NA	NA	NA	NA	6665	"AWN500"	"PL8-9"	"PL009"	2024-08-16	2024-08-16 18:56:41.056086	"loris"	2024-08-16	"rapid16s"	"SQK-16S114-24"	"FLO-FLG114"	"FA-09291"	"Spike-MinION"	2	3	1500	10	15	"yes"	50	2024-02-12	"SA/WJ"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 1"	""	97	"HDZ Keepers"	""	2023-11-19	"Warble"	"no"
"HDZ-094"	"HDZ-094-E1"	"HDZ-094-S66"	"sample extracted and sequenced"	"hdz3"	20	20	3	60	36	1.46	2656	"AUA949"	"HDZ-PL-003"	"PL003"	2024-06-12	2024-06-12 20:06:58.563653	"loris"	2024-06-12	"rapid16s"	"SQK-16S114-24"	"FLO-FLG114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2024-04-04	"MB"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 2"	""	25	"HDZ Keepers"	""	2023-11-20	"Culi"	"yes"
"HDZ-059"	"HDZ-059-E1"	NA	"extract not sequenced"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-02-29	"MB"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 1"	""	0.3	"HDZ Keepers"	""	2023-11-20	"Culi"	"yes"
"HDZ-104"	"HDZ-104-E1"	"HDZ-104-S69"	"sample extracted and sequenced"	"hdz3"	23	23	2	60	36	2.51	2606	"AUA949"	"HDZ-PL-003"	"PL003"	2024-06-12	2024-06-12 20:06:58.563653	"loris"	2024-06-12	"rapid16s"	"SQK-16S114-24"	"FLO-FLG114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2024-04-08	"WJ"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 2"	""	26	"HDZ Keepers"	""	2023-11-20	"Warble"	"yes"
"HDZ-058"	"HDZ-058-E1"	"HDZ-058-S63"	"sample extracted and sequenced"	"hdz3"	17	17	1	60	36	3.9	4247	"AUA949"	"HDZ-PL-003"	"PL003"	2024-06-12	2024-06-12 20:06:58.563653	"loris"	2024-06-12	"rapid16s"	"SQK-16S114-24"	"FLO-FLG114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2024-02-12	"SA"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 1"	""	25	"HDZ Keepers"	""	2023-11-21	"Culi"	"yes"
"HDZ-069"	"HDZ-069-E1"	"HDZ-069-S193"	"sample extracted and sequenced"	"hdz9"	9	9	NA	NA	NA	NA	14484	"AWN500"	"PL8-9"	"PL009"	2024-08-16	2024-08-16 18:56:41.056086	"loris"	2024-08-16	"rapid16s"	"SQK-16S114-24"	"FLO-FLG114"	"FA-09291"	"Spike-MinION"	2	3	1500	10	15	"yes"	50	2024-01-24	"MB"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 1"	""	69	"HDZ Keepers"	""	2023-11-22	"Culi"	"yes"
"HDZ-079"	"HDZ-079-E1"	"HDZ-079-S25"	"sample extracted and sequenced"	"hdz2"	2	2	1	41	24.6	4.18	1333	"AUD789"	"HDZ-PL-002"	"PL002"	2024-06-10	2024-06-10 20:32:18.00607	"loris"	2024-06-10	"rapid16s"	"SQK-16S114-24"	"FLO-FLG114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2024-02-29	"MB"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 1"	""	1.5	"HDZ Keepers"	""	2023-11-22	"Warble"	"yes"
"HDZ-064"	"HDZ-064-E1"	"HDZ-064-S2"	"sample extracted and sequenced"	"hdz1"	2	2	1	30	18	2.91	18102	"FAX08980"	"hdz1"	"PL001"	2024-05-16	2024-05-16 19:50:14.694401	"loris"	2024-05-16	"rapid16s"	"SQK-16S114-24"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2024-02-25	"WJ"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 1"	""	90	"HDZ Keepers"	""	2023-11-23	"Culi"	"yes"
"HDZ-078"	"HDZ-078-E1"	"HDZ-078-S27"	"sample extracted and sequenced"	"hdz2"	4	4	1	41	24.6	5.8	1149	"AUD789"	"HDZ-PL-002"	"PL002"	2024-06-10	2024-06-10 20:32:18.00607	"loris"	2024-06-10	"rapid16s"	"SQK-16S114-24"	"FLO-FLG114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2024-02-29	"MB"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 1"	""	5.6	"HDZ Keepers"	""	2023-11-23	"Culi"	"yes"
"HDZ-074"	"HDZ-074-E1"	NA	"extract not sequenced"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-03-06	"MB"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 2"	"DNA conc lower than std"	0	"HDZ Keepers"	""	2023-11-23	"Warble"	"yes"
"HDZ-063"	"HDZ-063-E1"	"HDZ-063-S1"	"sample extracted and sequenced"	"hdz1"	1	1	1	30	18	4.08	12891	"FAX08980"	"hdz1"	"PL001"	2024-05-16	2024-05-16 19:50:14.694401	"loris"	2024-05-16	"rapid16s"	"SQK-16S114-24"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2024-02-25	"WJ"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 1"	""	66	"HDZ Keepers"	""	2023-11-24	"Culi"	"yes"
"HDZ-068"	"HDZ-068-E1"	"HDZ-068-S26"	"sample extracted and sequenced"	"hdz2"	3	3	1	41	24.6	4.73	1030	"AUD789"	"HDZ-PL-002"	"PL002"	2024-06-10	2024-06-10 20:32:18.00607	"loris"	2024-06-10	"rapid16s"	"SQK-16S114-24"	"FLO-FLG114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2024-02-29	"WJ, MB"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 1"	"Not sure if these samples were extracted twice, but Missy extracted them on 2/29/24"	4.8	"HDZ Keepers"	""	2023-11-24	"Warble"	"yes"
"HDZ-057"	"HDZ-057-E1"	"HDZ-057-S233"	"sample extracted and sequenced"	"hdz11"	3	3	NA	NA	NA	NA	14968	"AVN953"	"HDZ-PL011"	"PL011"	2024-08-21	2024-08-21 21:19:53.872014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-01-24	"MB"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 1"	""	77	"HDZ Keepers"	""	2023-11-26	"Culi"	"yes"
"HDZ-073"	"HDZ-073-E1"	"HDZ-073-S194"	"sample extracted and sequenced"	"hdz9"	10	10	NA	NA	NA	NA	5724	"AWN500"	"PL8-9"	"PL009"	2024-08-16	2024-08-16 18:56:41.056086	"loris"	2024-08-16	"rapid16s"	"SQK-16S114-24"	"FLO-FLG114"	"FA-09291"	"Spike-MinION"	2	3	1500	10	15	"yes"	50	2024-02-25	"WJ"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 1"	""	59	"HDZ Keepers"	""	2023-11-26	"Warble"	"yes"
"HDZ-077"	"HDZ-077-E1"	"HDZ-077-S38"	"sample extracted and sequenced"	"hdz2"	16	16	5	41	24.6	0.854	189	"AUD789"	"HDZ-PL-002"	"PL002"	2024-06-10	2024-06-10 20:32:18.00607	"loris"	2024-06-10	"rapid16s"	"SQK-16S114-24"	"FLO-FLG114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2024-02-29	"MB"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 2"	""	28	"HDZ Keepers"	""	2023-11-27	"Culi"	"no"
"HDZ-067"	"HDZ-067-E1"	"HDZ-067-S9"	"sample extracted and sequenced"	"hdz1"	9	9	1	30	18	2.97	18771	"FAX08980"	"hdz1"	"PL001"	2024-05-16	2024-05-16 19:50:14.694401	"loris"	2024-05-16	"rapid16s"	"SQK-16S114-24"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2024-02-25	"WJ"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 1"	""	62	"HDZ Keepers"	""	2023-11-27	"Warble"	"no"
"HDZ-056"	"HDZ-056-E1"	NA	"extract not sequenced"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-02-29	"WJ, MB"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 1"	"Not sure if these samples were extracted twice, but Missy extracted them on 2/29/24"	0.3	"HDZ Keepers"	""	2023-11-29	"Culi"	"yes"
"HDZ-072"	"HDZ-072-E1"	"HDZ-072-S34"	"sample extracted and sequenced"	"hdz2"	11	11	1	41	24.6	5.3	1376	"AUD789"	"HDZ-PL-002"	"PL002"	2024-06-10	2024-06-10 20:32:18.00607	"loris"	2024-06-10	"rapid16s"	"SQK-16S114-24"	"FLO-FLG114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2024-02-29	"MB"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 1"	""	11	"HDZ Keepers"	""	2023-11-29	"Warble"	"yes"
"HDZ-066"	"HDZ-066-E1"	"HDZ-066-S5"	"sample extracted and sequenced"	"hdz1"	5	5	1	30	18	4.11	4860	"FAX08980"	"hdz1"	"PL001"	2024-05-16	2024-05-16 19:50:14.694401	"loris"	2024-05-16	"rapid16s"	"SQK-16S114-24"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2024-02-25	"WJ"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 1"	""	63	"HDZ Keepers"	""	2023-11-30	"Culi"	"yes"
"HDZ-061"	"HDZ-061-E1"	NA	"extract not sequenced"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-02-29	"MB"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 1"	""	0.2	"HDZ Keepers"	""	2023-11-30	"Warble"	"yes"
"HDZ-076"	"HDZ-076-E1"	"HDZ-076-S24"	"sample extracted and sequenced"	"hdz2"	1	1	1	41	24.6	5.4	1694	"AUD789"	"HDZ-PL-002"	"PL002"	2024-06-10	2024-06-10 20:32:18.00607	"loris"	2024-06-10	"rapid16s"	"SQK-16S114-24"	"FLO-FLG114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2024-02-29	"MB"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 1"	""	1.4	"HDZ Keepers"	""	2023-12-01	"Culi"	"yes"
"HDZ-075"	"HDZ-075-E1"	NA	"extract not sequenced"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-02-29	"WJ, MB"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 1"	"Not sure if these samples were extracted twice, but Missy extracted them on 2/29/24"	0.1	"HDZ Keepers"	""	2023-12-01	"Warble"	"yes"
"HDZ-071"	"HDZ-071-E1"	"HDZ-071-S79"	"sample extracted and sequenced"	"hdz4"	10	10	3	42	25.2	1.19	7484	"AUD364"	"HDZ-PL-004"	"PL004"	2024-06-13	2024-06-13 21:37:11.220383	"loris"	2024-06-13	"rapid16s"	"SQK-16S114-24"	"FLO-FLG114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2024-01-24	"MB"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 1"	""	35	"HDZ Keepers"	""	2023-12-02	"Culi"	"yes"
"HDZ-070"	"HDZ-070-E1"	"HDZ-070-S29"	"sample extracted and sequenced"	"hdz2"	6	6	1	41	24.6	4.55	1445	"AUD789"	"HDZ-PL-002"	"PL002"	2024-06-10	2024-06-10 20:32:18.00607	"loris"	2024-06-10	"rapid16s"	"SQK-16S114-24"	"FLO-FLG114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2024-02-29	"MB"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 1"	""	7.5	"HDZ Keepers"	""	2023-12-02	"Warble"	"yes"
"HDZ-065"	"HDZ-065-E1"	"HDZ-065-S4"	"sample extracted and sequenced"	"hdz1"	4	4	1	30	18	3.39	15081	"FAX08980"	"hdz1"	"PL001"	2024-05-16	2024-05-16 19:50:14.694401	"loris"	2024-05-16	"rapid16s"	"SQK-16S114-24"	"FLO-MIN114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2024-02-25	"WJ"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 1"	""	27	"HDZ Keepers"	""	2023-12-03	"Culi"	"yes"
"HDZ-188"	"HDZ-188-E1"	"HDZ-188-S62"	"sample extracted and sequenced"	"hdz3"	16	16	2	60	36	1.77	2389	"AUA949"	"HDZ-PL-003"	"PL003"	2024-06-12	2024-06-12 20:06:58.563653	"loris"	2024-06-12	"rapid16s"	"SQK-16S114-24"	"FLO-FLG114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2024-04-15	"MB"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 2"	""	24	"HDZ Keepers"	""	2023-12-05	"Warble"	"yes"
"HDZ-187"	"HDZ-187-E1"	"HDZ-187-S71"	"sample extracted and sequenced"	"hdz4"	2	2	2	42	25.2	2.38	9793	"AUD364"	"HDZ-PL-004"	"PL004"	2024-06-13	2024-06-13 21:37:11.220383	"loris"	2024-06-13	"rapid16s"	"SQK-16S114-24"	"FLO-FLG114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2024-04-15	"MB"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 2"	""	32	"HDZ Keepers"	""	2023-12-06	"Culi"	"yes"
"HDZ-186"	"HDZ-186-E1"	"HDZ-186-S73"	"sample extracted and sequenced"	"hdz4"	4	4	1	42	25.2	3.47	11597	"AUD364"	"HDZ-PL-004"	"PL004"	2024-06-13	2024-06-13 21:37:11.220383	"loris"	2024-06-13	"rapid16s"	"SQK-16S114-24"	"FLO-FLG114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2024-04-15	"MB"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 2"	""	33	"HDZ Keepers"	""	2023-12-06	"Warble"	"yes"
"HDZ-184"	"HDZ-184-E1"	"HDZ-184-S248"	"sample extracted and sequenced"	"hdz11"	18	18	NA	NA	NA	NA	19730	"AVN953"	"HDZ-PL011"	"PL011"	2024-08-21	2024-08-21 21:19:53.872014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-04-15	"MB"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 2"	""	53	"HDZ Keepers"	""	2023-12-07	"Culi"	"yes"
"HDZ-183"	"HDZ-183-E1"	"HDZ-183-S84"	"sample extracted and sequenced"	"hdz4"	15	15	1	42	25.2	3.7	10808	"AUD364"	"HDZ-PL-004"	"PL004"	2024-06-13	2024-06-13 21:37:11.220383	"loris"	2024-06-13	"rapid16s"	"SQK-16S114-24"	"FLO-FLG114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2024-04-15	"MB"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 2"	""	41	"HDZ Keepers"	""	2023-12-07	"Warble"	"yes"
"HDZ-182"	"HDZ-182-E1"	"HDZ-182-S52"	"sample extracted and sequenced"	"hdz3"	6	6	4	60	36	1.07	3451	"AUA949"	"HDZ-PL-003"	"PL003"	2024-06-12	2024-06-12 20:06:58.563653	"loris"	2024-06-12	"rapid16s"	"SQK-16S114-24"	"FLO-FLG114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2024-04-15	"MB"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 2"	""	13	"HDZ Keepers"	""	2023-12-08	"Culi"	"yes"
"HDZ-176"	"HDZ-176-E1"	"HDZ-176-S51"	"sample extracted and sequenced"	"hdz3"	5	5	4	60	36	1.13	2017	"AUA949"	"HDZ-PL-003"	"PL003"	2024-06-12	2024-06-12 20:06:58.563653	"loris"	2024-06-12	"rapid16s"	"SQK-16S114-24"	"FLO-FLG114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2024-04-15	"MB"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 2"	""	7.7	"HDZ Keepers"	""	2023-12-09	"Culi"	"yes"
"HDZ-195"	"HDZ-195-E1"	"HDZ-195-S201"	"sample extracted and sequenced"	"hdz9"	17	17	NA	NA	NA	NA	10248	"AWN500"	"PL8-9"	"PL009"	2024-08-16	2024-08-16 18:56:41.056086	"loris"	2024-08-16	"rapid16s"	"SQK-16S114-24"	"FLO-FLG114"	"FA-09291"	"Spike-MinION"	2	3	1500	10	15	"yes"	50	2024-05-20	"SA"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 3"	""	61	"HDZ Keepers"	""	2023-12-09	"Warble"	"yes"
"HDZ-185"	NA	NA	"sample not extracted"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"HDZ Keepers"	""	2023-12-09	"Warble"	"yes"
"HDZ-181"	"HDZ-181-E1"	"HDZ-181-S74"	"sample extracted and sequenced"	"hdz4"	5	5	3	42	25.2	1.43	8877	"AUD364"	"HDZ-PL-004"	"PL004"	2024-06-13	2024-06-13 21:37:11.220383	"loris"	2024-06-13	"rapid16s"	"SQK-16S114-24"	"FLO-FLG114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2024-04-15	"MB"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 2"	""	33	"HDZ Keepers"	""	2023-12-10	"Culi"	"yes"
"HDZ-179"	"HDZ-179-E1"	"HDZ-179-S98"	"sample extracted and sequenced"	"hdz5"	6	6	5	NA	NA	0.864	4189	"AVI712"	"HDZ-PL-005"	"PL005"	2024-07-17	2024-07-17 17:41:40.26544	"loris"	2024-07-17	"rapid16s"	"SQK-16S114-24"	"FLO-FLG114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2024-04-15	"MB"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 2"	""	32	"HDZ Keepers"	""	2023-12-11	"Culi"	"yes"
"HDZ-180"	"HDZ-180-E1"	"HDZ-180-S99"	"sample extracted and sequenced"	"hdz5"	7	7	3	NA	NA	1.37	7512	"AVI712"	"HDZ-PL-005"	"PL005"	2024-07-17	2024-07-17 17:41:40.26544	"loris"	2024-07-17	"rapid16s"	"SQK-16S114-24"	"FLO-FLG114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2024-04-15	"MB"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 2"	""	26	"HDZ Keepers"	""	2023-12-12	"Culi"	"yes"
"HDZ-175"	"HDZ-175-E1"	"HDZ-175-S61"	"sample extracted and sequenced"	"hdz3"	15	15	2	60	36	1.89	2709	"AUA949"	"HDZ-PL-003"	"PL003"	2024-06-12	2024-06-12 20:06:58.563653	"loris"	2024-06-12	"rapid16s"	"SQK-16S114-24"	"FLO-FLG114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2024-04-15	"MB"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 2"	""	22	"HDZ Keepers"	""	2023-12-13	"Culi"	"yes"
"HDZ-177"	"HDZ-177-E1"	"HDZ-177-S47"	"sample extracted and sequenced"	"hdz3"	1	1	2	60	36	2.68	4141	"AUA949"	"HDZ-PL-003"	"PL003"	2024-06-12	2024-06-12 20:06:58.563653	"loris"	2024-06-12	"rapid16s"	"SQK-16S114-24"	"FLO-FLG114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2024-04-15	"MB"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 2"	""	4.9	"HDZ Keepers"	""	2023-12-13	"Warble"	"yes"
"HDZ-167"	"HDZ-167-E1"	"HDZ-167-S198"	"sample extracted and sequenced"	"hdz9"	14	14	NA	NA	NA	NA	12739	"AWN500"	"PL8-9"	"PL009"	2024-08-16	2024-08-16 18:56:41.056086	"loris"	2024-08-16	"rapid16s"	"SQK-16S114-24"	"FLO-FLG114"	"FA-09291"	"Spike-MinION"	2	3	1500	10	15	"yes"	50	2024-04-09	"MB"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 2"	""	75	"HDZ Keepers"	""	2023-12-14	"Culi"	"yes"
"HDZ-157"	"HDZ-157-E1"	"HDZ-157-S241"	"sample extracted and sequenced"	"hdz11"	11	11	NA	NA	NA	NA	11652	"AVN953"	"HDZ-PL011"	"PL011"	2024-08-21	2024-08-21 21:19:53.872014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-04-09	"MB"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 2"	""	57	"HDZ Keepers"	""	2023-12-14	"Warble"	"yes"
"HDZ-173"	"HDZ-173-E1"	"HDZ-173-S246"	"sample extracted and sequenced"	"hdz11"	16	16	NA	NA	NA	NA	10826	"AVN953"	"HDZ-PL011"	"PL011"	2024-08-21	2024-08-21 21:19:53.872014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-04-09	"MB"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 2"	""	53	"HDZ Keepers"	""	2023-12-14	"Warble"	"yes"
"HDZ-156"	"HDZ-156-E1"	"HDZ-156-S68"	"sample extracted and sequenced"	"hdz3"	22	22	2	60	36	2.31	2566	"AUA949"	"HDZ-PL-003"	"PL003"	2024-06-12	2024-06-12 20:06:58.563653	"loris"	2024-06-12	"rapid16s"	"SQK-16S114-24"	"FLO-FLG114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2024-04-09	"MB"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 2"	""	25	"HDZ Keepers"	""	2023-12-15	"Culi"	"yes"
"HDZ-060"	"HDZ-060-E1"	"HDZ-060-S80"	"sample extracted and sequenced"	"hdz4"	11	11	1	42	25.2	4.24	12381	"AUD364"	"HDZ-PL-004"	"PL004"	2024-06-13	2024-06-13 21:37:11.220383	"loris"	2024-06-13	"rapid16s"	"SQK-16S114-24"	"FLO-FLG114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2024-04-08	"WJ/MB"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 2"	""	35	"HDZ Keepers"	""	2023-12-15	"Culi"	"yes"
"HDZ-155"	"HDZ-155-E1"	"HDZ-155-S67"	"sample extracted and sequenced"	"hdz3"	21	21	2	60	36	1.71	2292	"AUA949"	"HDZ-PL-003"	"PL003"	2024-06-12	2024-06-12 20:06:58.563653	"loris"	2024-06-12	"rapid16s"	"SQK-16S114-24"	"FLO-FLG114"	"FA-08546"	"Angel-MinION"	2	3	1500	10	15	"yes"	50	2024-04-09	"MB"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 2"	""	25	"HDZ Keepers"	""	2023-12-15	"Warble"	"yes"
"HDZ-174"	"HDZ-174-E1"	"HDZ-174-S247"	"sample extracted and sequenced"	"hdz11"	17	17	NA	NA	NA	NA	19760	"AVN953"	"HDZ-PL011"	"PL011"	2024-08-21	2024-08-21 21:19:53.872014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2024-04-09	"MB"	"Quick-DNA Fecal/Soil Microbe"	"HDZ Loris DNA Extracts Box 2"	""	52	"HDZ Keepers"	""	2023-12-16	"Culi"	"yes"
