LibraryTube	ExtractID	SequenceID	LibPrepDate	Pipeline	LibraryBarcode	LibraryFinalConc	LibraryCode	LibraryPoolVol_ul
4	HDZ-262-E1	HDZ-262-S165	2024-08-16	rapid16s	16S4		PL008	NA
5	HDZ-263-E1	HDZ-263-S166	2024-08-16	rapid16s	16S5		PL008	NA
6	HDZ-264-E1	HDZ-264-S167	2024-08-16	rapid16s	16S6		PL008	NA
21	HDZ-265-E1	HDZ-265-S205	2024-08-16	rapid16s	16S21		PL009	NA
1	HDZ-266-E1	HDZ-266-S254	2024-08-30	rapid16s	16S1		PL012	NA
2	HDZ-267-E1	HDZ-267-S255	2024-08-30	rapid16s	16S2		PL012	NA
9	HDZ-268-E1	HDZ-268-S308	2024-09-06	rapid16s	16S9		PL014	NA
10	HDZ-269-E1	HDZ-269-S309	2024-09-06	rapid16s	16S10		PL014	NA
11	HDZ-270-E1	HDZ-270-S310	2024-09-06	rapid16s	16S11		PL014	NA
12	HDZ-271-E1	HDZ-271-S311	2024-09-06	rapid16s	16S12		PL014	NA
13	HDZ-272-E1	HDZ-272-S312	2024-09-06	rapid16s	16S13		PL014	NA
14	HDZ-273-E1	HDZ-273-S313	2024-09-06	rapid16s	16S14		PL014	NA
15	HDZ-274-E1	HDZ-274-S314	2024-09-06	rapid16s	16S15		PL014	NA
18	HDZ-301-E1	HDZ-301-S110	2024-07-17	rapid16s	16S18	5.6	PL005	61
19	HDZ-302-E1	HDZ-302-S111	2024-07-17	rapid16s	16S19	1.3	PL005	61
20	HDZ-303-E1	HDZ-303-S112	2024-07-17	rapid16s	16S20	1.92	PL005	61
21	HDZ-304-E1	HDZ-304-S113	2024-07-17	rapid16s	16S21	0.778	PL005	61
22	HDZ-305-E1	HDZ-305-S114	2024-07-17	rapid16s	16S22	1.27	PL005	61
23	HDZ-306-E1	HDZ-306-S115	2024-07-17	rapid16s	16S23	4.59	PL005	61
1	HDZ-307-E1	HDZ-307-S116	2024-07-18	rapid16s	16S1		PL006	NA
2	HDZ-308-E1	HDZ-308-S117	2024-07-18	rapid16s	16S2		PL006	NA
3	HDZ-309-E1	HDZ-309-S118	2024-07-18	rapid16s	16S3		PL006	NA
4	HDZ-310-E1	HDZ-310-S119	2024-07-18	rapid16s	16S4		PL006	NA
5	HDZ-311-E1	HDZ-311-S120	2024-07-18	rapid16s	16S5		PL006	NA
6	HDZ-312-E1	HDZ-312-S121	2024-07-18	rapid16s	16S6		PL006	NA
10	HDZ-313-E1	HDZ-313-S125	2024-07-18	rapid16s	16S10		PL006	NA
11	HDZ-314-E1	HDZ-314-S126	2024-07-18	rapid16s	16S11		PL006	NA
12	HDZ-315-E1	HDZ-315-S127	2024-07-18	rapid16s	16S12		PL006	NA
3	HDZ-316-E1	HDZ-316-S256	2024-08-30	rapid16s	16S3		PL012	NA
17	HDZ-317-E1	HDZ-317-S155	2024-07-22	rapid16s	16S17		PL007	NA
18	HDZ-318-E1	HDZ-318-S156	2024-07-22	rapid16s	16S18		PL007	NA
19	HDZ-319-E1	HDZ-319-S157	2024-07-22	rapid16s	16S19		PL007	NA
16	HDZ-320-E1	HDZ-320-S131	2024-07-18	rapid16s	16S16		PL006	NA
17	HDZ-321-E1	HDZ-321-S132	2024-07-18	rapid16s	16S17		PL006	NA
18	HDZ-322-E1	HDZ-322-S133	2024-07-18	rapid16s	16S18		PL006	NA
19	HDZ-323-E1	HDZ-323-S134	2024-07-18	rapid16s	16S19		PL006	NA
20	HDZ-324-E1	HDZ-324-S135	2024-07-18	rapid16s	16S20		PL006	NA
21	HDZ-325-E1	HDZ-325-S136	2024-07-18	rapid16s	16S21		PL006	NA
22	HDZ-326-E1	HDZ-326-S137	2024-07-18	rapid16s	16S22		PL006	NA
23	HDZ-327-E1	HDZ-327-S138	2024-07-18	rapid16s	16S23		PL006	NA
20	HDZ-328-E1	HDZ-328-S158	2024-07-22	rapid16s	16S20		PL007	NA
16	HDZ-329-E1	HDZ-329-S315	2024-09-06	rapid16s	16S16		PL014	NA
1	HDZ-330-E1	HDZ-330-S323	2024-09-09	rapid16s	16S1		PL015	NA
2	HDZ-331-E1	HDZ-331-S324	2024-09-09	rapid16s	16S2		PL015	NA
7	HDZ-332-E1	HDZ-332-S168	2024-08-16	rapid16s	16S7		PL008	NA
8	HDZ-333-E1	HDZ-333-S169	2024-08-16	rapid16s	16S8		PL008	NA
3	HDZ-334-E1	HDZ-334-S325	2024-09-09	rapid16s	16S3		PL015	NA
4	HDZ-335-E1	HDZ-335-S257	2024-08-30	rapid16s	16S4		PL012	NA
21	HDZ-336-E1	HDZ-336-S159	2024-07-22	rapid16s	16S21		PL007	NA
22	HDZ-337-E1	HDZ-337-S160	2024-07-22	rapid16s	16S22		PL007	NA
23	HDZ-338-E1	HDZ-338-S161	2024-07-22	rapid16s	16S23		PL007	NA
22	HDZ-339-E1	HDZ-339-S252	2024-08-21	rapid16s	16S22		PL011	NA
4	HDZ-340-E1	HDZ-340-S326	2024-09-09	rapid16s	16S4		PL015	NA
9	HDZ-341-E1	HDZ-341-S170	2024-08-16	rapid16s	16S9		PL008	NA
10	HDZ-342-E1	HDZ-342-S171	2024-08-16	rapid16s	16S10		PL008	NA
11	HDZ-343-E1	HDZ-343-S172	2024-08-16	rapid16s	16S11		PL008	NA
17	HDZ-344-E1	HDZ-344-S316	2024-09-06	rapid16s	16S17		PL014	NA
5	HDZ-345-E1	HDZ-345-S258	2024-08-30	rapid16s	16S5		PL012	NA
18	HDZ-346-E1	HDZ-346-S317	2024-09-06	rapid16s	16S18		PL014	NA
19	HDZ-347-E1	HDZ-347-S318	2024-09-06	rapid16s	16S19		PL014	NA
6	HDZ-348-E1	HDZ-348-S259	2024-08-30	rapid16s	16S6		PL012	NA
12	HDZ-349-E1	HDZ-349-S173	2024-08-16	rapid16s	16S12		PL008	NA
13	HDZ-350-E1	HDZ-350-S174	2024-08-16	rapid16s	16S13		PL008	NA
14	HDZ-351-E1	HDZ-351-S175	2024-08-16	rapid16s	16S14		PL008	NA
15	HDZ-352-E1	HDZ-352-S176	2024-08-16	rapid16s	16S15		PL008	NA
16	HDZ-354-E1	HDZ-354-S177	2024-08-16	rapid16s	16S16		PL008	NA
17	HDZ-355-E1	HDZ-355-S178	2024-08-16	rapid16s	16S17		PL008	NA
18	HDZ-356-E1	HDZ-356-S179	2024-08-16	rapid16s	16S18		PL008	NA
19	HDZ-357-E1	HDZ-357-S180	2024-08-16	rapid16s	16S19		PL008	NA
20	HDZ-358-E1	HDZ-358-S181	2024-08-16	rapid16s	16S20		PL008	NA
21	HDZ-359-E1	HDZ-359-S182	2024-08-16	rapid16s	16S21		PL008	NA
22	HDZ-360-E1	HDZ-360-S183	2024-08-16	rapid16s	16S22		PL008	NA
23	HDZ-361-E1	HDZ-361-S184	2024-08-16	rapid16s	16S23		PL008	NA
1	HDZ-362-E1	HDZ-362-S208	2024-08-21	rapid16s	16S1		PL010	NA
2	HDZ-363-E1	HDZ-363-S209	2024-08-21	rapid16s	16S2		PL010	NA
3	HDZ-364-E1	HDZ-364-S210	2024-08-21	rapid16s	16S3		PL010	NA
4	HDZ-365-E1	HDZ-365-S211	2024-08-21	rapid16s	16S4		PL010	NA
