tax	NTC1-CTRL	NWR-003-S1	NWR-032-S2	NWR-036-S3	NWR-089-S4	NWR-102-S5	NWR-103-S6	NWR-107-S7	NWR-108-S8	NWR-114-S9	NWR-115-S10	NWR-116-S11	NWR-117-S12	NWR-118-S13	NWR-119-S14	NWR-121-S23	NWR-122-S21	NWR-126-S17	NWR-127-S19	NWR-130-S18	NWR-151-S20	NWR-153-S22	NWR-154-S16	NWR-156-S15	total
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Selenomonadales;Sporomusaceae;Anaeroarcus;Anaeroarcus burkinensis	0	0	0	0	78	0	0	0	0	0	0	0	15	21	0	0	0	0	70	512	269	0	0	0	965
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Scatolibacter;Scatolibacter rhodanostii	0	0	0	0	222	0	0	4	11	467	0	0	3	2	0	3	0	0	1	170	40	0	0	0	923
Bacteria;Bacteria_none;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;Desulfatiferula;Desulfatiferula olefinivorans	0	0	0	0	548	0	0	0	0	0	0	0	203	1	0	117	0	0	0	0	0	0	0	0	869
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lentilactobacillus;Lentilactobacillus hilgardii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	858	858
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Serratia;Serratia ficaria	0	0	5	0	0	0	0	0	0	3	0	0	2	0	0	0	0	1	0	846	0	0	0	0	857
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Pantoea;Pantoea endophytica	0	0	0	0	0	0	3	0	0	0	0	0	1	1	0	0	0	782	0	62	0	0	0	1	850
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Oxalobacter;Oxalobacter vibrioformis	0	0	0	0	161	0	1	3	0	48	0	0	49	20	0	1	0	8	6	543	1	0	0	0	841
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Erwinia;Erwinia aphidicola	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	796	0	0	0	1	798
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Eubacteriales_Incertae_sedis;Intestinimonas;Intestinimonas timonensis	0	0	0	0	535	0	0	0	0	0	0	0	2	0	0	0	0	0	0	251	0	0	0	0	788
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Hafniaceae;Obesumbacterium;Obesumbacterium proteus	0	0	655	0	0	0	83	1	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	761
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Macrococcus;Macrococcus equipercicus	0	9	0	0	0	0	0	2	8	16	6	86	0	19	9	19	13	73	461	25	4	0	0	5	755
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus wangshanyuanii	0	0	0	0	1	0	0	180	0	1	4	1	0	2	7	0	0	61	0	10	1	1	0	469	738
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Vagococcus;Vagococcus entomophilus	0	0	0	0	0	0	0	207	0	3	4	0	1	3	1	0	0	0	0	0	0	0	1	510	730
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Eubacteriales_Incertae_sedis;Intestinimonas;Intestinimonas butyriciproducens	0	0	0	0	420	0	0	0	0	0	0	0	28	0	0	0	0	0	0	222	3	0	0	0	673
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Rahnella;Rahnella contaminans	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	660	0	1	0	1	667
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;Klebsiella pasteurii	0	12	0	0	0	1	564	0	0	2	0	0	0	2	0	2	0	1	0	5	7	0	0	63	659
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Vagococcus;Vagococcus coleopterorum	0	0	0	0	0	0	0	639	0	0	2	0	0	0	1	0	0	13	0	0	0	0	0	0	655
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Budviciaceae;Limnobaculum;Limnobaculum parvum	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	2	0	631	0	0	0	0	648
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria_Incertae_sedis;Gammaproteobacteria_Incertae_sedis;Ignatzschineria;Ignatzschineria larvae	0	0	0	0	0	0	0	623	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	624
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Phocea;Phocea massiliensis	0	0	0	0	26	0	0	2	10	28	0	0	0	0	0	0	0	40	241	233	32	0	0	0	612
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter ludwigii	0	4	0	0	0	0	11	0	0	55	0	45	4	2	1	0	3	8	0	358	0	0	0	118	609
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Orbales;Orbaceae;Gilliamella;Gilliamella bombicola	0	0	0	61	0	0	0	2	1	7	0	0	0	0	0	0	0	49	0	48	233	0	0	148	549
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Cedecea;Cedecea lapagei	1	1	0	0	503	0	1	0	0	2	0	0	0	0	0	5	0	0	0	0	1	0	0	28	542
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Orbales;Orbaceae;Zophobihabitans;Zophobihabitans entericus	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	331	0	2	203	0	1	3	542
Bacteria;Bacteria_none;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio;Desulfovibrio cuneatus	0	0	0	0	484	0	0	0	1	1	0	0	4	1	0	2	0	3	5	3	24	0	0	0	528
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Eubacteriales Family XIII. Incertae Sedis;Sinanaerobacter;Sinanaerobacter chloroacetimidivorans	0	0	0	0	186	0	0	1	2	31	0	0	0	3	0	0	0	48	153	40	33	0	1	0	498
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus florum	0	0	0	0	0	0	0	0	0	3	121	0	0	1	68	0	0	300	0	0	0	0	0	0	493
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Orbales;Orbaceae;Gilliamella;Gilliamella mensalis	0	0	0	29	0	0	0	1	0	2	0	0	0	0	0	0	0	38	0	22	22	0	0	378	492
Bacteria;Bacteria_none;Firmicutes;Tissierellia;Tissierellales;Tissierellaceae;Urmitella;Urmitella timonensis	0	0	0	0	0	0	0	484	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	485
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Entomomonas;Entomomonas asaccharolytica	0	0	0	0	55	0	1	6	0	15	3	0	1	1	19	0	0	163	0	198	0	0	0	0	462
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Serratia;Serratia quinivorans	0	0	0	0	0	0	0	1	0	419	0	34	0	0	0	1	0	0	0	0	0	0	0	0	455
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactiplantibacillus;Lactiplantibacillus plantarum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	448	448
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Pantoea;Pantoea ananatis	0	0	0	0	0	0	21	0	0	4	0	200	0	68	0	2	1	59	0	9	61	0	0	18	443
Bacteria;Bacteria_none;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Enterocloster;Enterocloster bolteae	0	0	0	0	174	0	0	0	21	8	0	1	0	4	0	0	0	7	5	221	0	0	0	0	441
Bacteria;Bacteria_none;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae;Phascolarctobacterium;Phascolarctobacterium succinatutens	0	0	0	0	404	0	0	0	0	0	0	0	29	0	0	0	0	0	3	0	3	0	0	0	439
Bacteria;Bacteria_none;Candidatus Melainabacteria;Candidatus Melainabacteria_Incertae_sedis;Vampirovibrionales;Vampirovibrionales_Incertae_sedis;Vampirovibrio;Vampirovibrio chlorellavorus	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	1	28	1	400	0	0	0	0	436
